Timestamp,Area Name,How Badly your area is affected?,Type of your Residence,How badly you are personally affected,How was the Government's response
12/1/2015 17:19:35,West saidapet,Average,Individual House,Average,Pathetic
12/1/2015 17:19:42,Annanagar East,Bad,Apartment,Bad,Pathetic
12/1/2015 17:19:52,Choolaimedu,Average,Apartment,Bad,Pathetic
12/1/2015 17:19:53,"Padur, OMR",Average,Apartment,Average,Average
12/1/2015 17:20:01,villivakkam,Bad,Individual House,Bad,Pathetic
12/1/2015 17:21:04,Kolathur,Average,Apartment,Average,Average
12/1/2015 17:21:09,Porur ,Bad,Individual House,Not al All,Pathetic
12/1/2015 17:21:15,adyar,Bad,Individual House,Bad,Average
12/1/2015 17:21:36,jafferkhanpet,Bad,Individual House,Bad,Pathetic
12/1/2015 17:21:41,anna nagar west sboa school road,Bad,Apartment,Bad,Pathetic
12/1/2015 17:23:04,"Vaigai nagar,West tambaram",Bad,Individual House,Average,Average
12/1/2015 17:23:10,Triplicane ,Not at All,Individual House,Average,Average
12/1/2015 17:23:14,"Vaigai nagar,West tambaram",Bad,Individual House,Average,Average
12/1/2015 17:23:39,K K Nagar,Bad,Apartment,Bad,Pathetic
12/1/2015 17:24:00,Kodungaiyu,Average,Individual House,Average,Average
12/1/2015 17:24:39,"Mandaveli, trust pakkam south",Bad,Apartment,Bad,Pathetic
12/1/2015 17:24:43,ice house,Average,Individual House,Not al All,Average
12/1/2015 17:24:49,Padur,Average,Apartment,Not al All,Average
12/1/2015 17:25:31,velachery,Bad,Apartment,Bad,Pathetic
12/1/2015 17:25:50,erukkanchery,Not at All,Individual House,Not al All,Pathetic
12/1/2015 17:25:54,Nungambakkam,Not at All,Apartment,Not al All,Pathetic
12/1/2015 17:26:09,Mylapore ,Average,Apartment,Average,Average
12/1/2015 17:26:36,Guindy,Not at All,Apartment,Not al All,Pathetic
12/1/2015 17:26:37,"thirumal nagar, vinayagapuram, kolathur, chennai-600099",Bad,Individual House,Bad,Pathetic
12/1/2015 17:26:55,srinagar colony,Bad,Individual House,Average,Average
12/1/2015 17:27:01,satish tk,Average,Individual House,Average,Average
12/1/2015 17:27:03,Karayanchavadi,Bad,Apartment,Bad,Average
12/1/2015 17:27:06,Anna Nagar West,Bad,Apartment,Average,Pathetic
12/1/2015 17:27:47,Thiruvanmiyur,Average,Apartment,Not al All,Pathetic
12/1/2015 17:27:49,Selaiyur,Bad,Apartment,Average,Pathetic
12/1/2015 17:27:59,Pazhavanthangal,Average,Apartment,Average,Pathetic
12/1/2015 17:28:25,Pallikaranai,Bad,Individual House,Average,Average
